IP,Port,Degree
127.0.0.1,6373,0
127.0.0.1,6710,0
127.0.0.1,6535,0
127.0.0.1,6566,0
127.0.0.1,6964,0
127.0.0.1,6660,0
127.0.0.1,6484,0
127.0.0.1,6880,0
127.0.0.1,6967,0
127.0.0.1,6665,0
127.0.0.1,6805,0
127.0.0.1,6909,0
127.0.0.1,6966,0
127.0.0.1,6578,0
127.0.0.1,6912,0
127.0.0.1,6844,0
127.0.0.1,6393,0
127.0.0.1,6422,0
127.0.0.1,6573,0
127.0.0.1,6598,0
127.0.0.1,6496,0
127.0.0.1,6599,0
127.0.0.1,6301,0
127.0.0.1,6398,0
127.0.0.1,6583,0
127.0.0.1,6903,0
127.0.0.1,6641,0
127.0.0.1,6920,0
127.0.0.1,6697,0
127.0.0.1,6753,0
127.0.0.1,6703,0
127.0.0.1,6833,0
127.0.0.1,6333,0
127.0.0.1,6655,0
127.0.0.1,6763,0
127.0.0.1,6807,0
127.0.0.1,6610,0
127.0.0.1,6785,0
127.0.0.1,6563,0
127.0.0.1,6667,0
127.0.0.1,6461,0
127.0.0.1,6321,0
127.0.0.1,6412,0
127.0.0.1,6544,0
127.0.0.1,6621,0
127.0.0.1,6554,0
127.0.0.1,6316,0
127.0.0.1,6515,0
127.0.0.1,6498,0
127.0.0.1,6688,0
127.0.0.1,6481,0
127.0.0.1,6325,0
127.0.0.1,6288,0
127.0.0.1,6488,0
127.0.0.1,6401,0
127.0.0.1,6740,0
127.0.0.1,6873,0
127.0.0.1,6645,0
127.0.0.1,6951,0
127.0.0.1,6896,0
127.0.0.1,6746,0
127.0.0.1,6982,0
127.0.0.1,6994,0
127.0.0.1,6630,0
127.0.0.1,6970,0
127.0.0.1,6651,0
127.0.0.1,6972,0
127.0.0.1,6803,0
127.0.0.1,6870,0
127.0.0.1,6564,0
127.0.0.1,6998,0
127.0.0.1,6925,0
127.0.0.1,6264,0
127.0.0.1,6303,0
127.0.0.1,6513,0
127.0.0.1,6506,0
127.0.0.1,6337,0
127.0.0.1,6458,0
127.0.0.1,6561,0
127.0.0.1,6329,0
127.0.0.1,6830,0
127.0.0.1,6603,0
127.0.0.1,6541,0
127.0.0.1,6732,0
127.0.0.1,6941,0
127.0.0.1,6739,0
127.0.0.1,6846,0
127.0.0.1,6567,0
127.0.0.1,6346,0
127.0.0.1,6712,0
127.0.0.1,6616,0
127.0.0.1,6695,0
127.0.0.1,6757,0
127.0.0.1,6778,0
127.0.0.1,6851,0
127.0.0.1,6479,0
127.0.0.1,6662,0
127.0.0.1,6638,0
127.0.0.1,6270,0
127.0.0.1,6326,0
127.0.0.1,6366,0
127.0.0.1,6611,0
127.0.0.1,6550,0
127.0.0.1,6705,0
127.0.0.1,6686,0
127.0.0.1,6633,0
127.0.0.1,6810,0
127.0.0.1,6459,0
127.0.0.1,6637,0
127.0.0.1,6451,0
127.0.0.1,6253,0
127.0.0.1,6861,0
127.0.0.1,6736,0
127.0.0.1,6783,0
127.0.0.1,6509,0
127.0.0.1,6845,0
127.0.0.1,6718,0
127.0.0.1,6915,0
127.0.0.1,6636,0
127.0.0.1,6837,0
127.0.0.1,6773,0
127.0.0.1,6627,0
127.0.0.1,6470,0
127.0.0.1,6899,0
127.0.0.1,6476,0
127.0.0.1,6735,0
127.0.0.1,6717,0
127.0.0.1,6600,0
127.0.0.1,6267,0
127.0.0.1,6293,0
127.0.0.1,6304,0
127.0.0.1,6259,0
127.0.0.1,6376,0
127.0.0.1,6425,0
127.0.0.1,6504,0
127.0.0.1,6464,0
127.0.0.1,6286,0
127.0.0.1,6545,0
127.0.0.1,6605,0
127.0.0.1,6446,0
127.0.0.1,6328,0
127.0.0.1,6663,0
127.0.0.1,6782,0
127.0.0.1,6741,0
127.0.0.1,6450,0
127.0.0.1,6748,0
127.0.0.1,6668,0
127.0.0.1,6597,0
127.0.0.1,6850,0
127.0.0.1,6905,0
127.0.0.1,6762,0
127.0.0.1,6797,0
127.0.0.1,6727,0
127.0.0.1,6745,0
127.0.0.1,6285,0
127.0.0.1,6302,0
127.0.0.1,6281,0
127.0.0.1,6475,0
127.0.0.1,6322,0
127.0.0.1,6299,0
127.0.0.1,6462,0
127.0.0.1,6613,0
127.0.0.1,6354,0
127.0.0.1,6477,0
127.0.0.1,6258,0
127.0.0.1,6634,0
127.0.0.1,6587,0
127.0.0.1,6255,0
127.0.0.1,6689,0
127.0.0.1,6666,0
127.0.0.1,6588,0
127.0.0.1,6754,0
127.0.0.1,6298,0
127.0.0.1,6661,0
127.0.0.1,6720,0
127.0.0.1,6678,0
127.0.0.1,6348,0
127.0.0.1,6432,0
127.0.0.1,6687,0
127.0.0.1,6403,0
127.0.0.1,6882,0
127.0.0.1,6683,0
127.0.0.1,6796,0
127.0.0.1,6657,0
127.0.0.1,6646,0
127.0.0.1,6897,0
127.0.0.1,6926,0
127.0.0.1,6900,0
127.0.0.1,6857,0
127.0.0.1,6954,0
127.0.0.1,6963,0
127.0.0.1,6414,0
127.0.0.1,6562,0
127.0.0.1,6684,0
127.0.0.1,6314,0
127.0.0.1,6278,0
127.0.0.1,6939,0
127.0.0.1,6413,0
127.0.0.1,6690,0
127.0.0.1,6874,0
127.0.0.1,6556,0
127.0.0.1,6254,0
127.0.0.1,6284,0
127.0.0.1,6353,0
127.0.0.1,6341,0
127.0.0.1,6490,0
127.0.0.1,6117,1
127.0.0.1,6185,0
127.0.0.1,6104,2
127.0.0.1,6168,1
127.0.0.1,6195,0
127.0.0.1,6196,0
127.0.0.1,6101,1
127.0.0.1,6102,1
127.0.0.1,6105,3
127.0.0.1,6108,1
127.0.0.1,6143,0
127.0.0.1,6193,0
127.0.0.1,6100,3
127.0.0.1,6106,3
127.0.0.1,6109,0
127.0.0.1,6114,1
127.0.0.1,6118,1
127.0.0.1,6123,5
127.0.0.1,6126,2
127.0.0.1,6130,0
127.0.0.1,6132,0
127.0.0.1,6145,0
127.0.0.1,6150,0
127.0.0.1,6155,0
127.0.0.1,6158,1
127.0.0.1,6160,0
127.0.0.1,6162,0
127.0.0.1,6170,0
127.0.0.1,6172,0
127.0.0.1,6174,2
127.0.0.1,6177,0
127.0.0.1,6179,0
127.0.0.1,6180,0
127.0.0.1,6182,1
127.0.0.1,6186,1
127.0.0.1,6187,0
127.0.0.1,6190,0
127.0.0.1,6197,0
127.0.0.1,6198,0
127.0.0.1,6199,0
127.0.0.1,6103,3
127.0.0.1,6107,1
127.0.0.1,6110,4
127.0.0.1,6111,0
127.0.0.1,6112,1
127.0.0.1,6113,2
127.0.0.1,6115,0
127.0.0.1,6116,4
127.0.0.1,6119,2
127.0.0.1,6120,4
127.0.0.1,6122,1
127.0.0.1,6121,1
127.0.0.1,6124,0
127.0.0.1,6125,0
127.0.0.1,6127,0
127.0.0.1,6128,2
127.0.0.1,6129,0
127.0.0.1,6131,0
127.0.0.1,6133,3
127.0.0.1,6134,0
127.0.0.1,6135,2
127.0.0.1,6136,0
127.0.0.1,6137,0
127.0.0.1,6138,1
127.0.0.1,6139,0
127.0.0.1,6140,1
127.0.0.1,6141,0
127.0.0.1,6142,0
127.0.0.1,6144,1
127.0.0.1,6146,0
127.0.0.1,6147,1
127.0.0.1,6148,3
127.0.0.1,6149,1
127.0.0.1,6151,1
127.0.0.1,6152,2
127.0.0.1,6153,1
127.0.0.1,6154,1
127.0.0.1,6156,1
127.0.0.1,6157,0
127.0.0.1,6159,1
127.0.0.1,6161,0
127.0.0.1,6163,0
127.0.0.1,6164,0
127.0.0.1,6165,1
127.0.0.1,6167,1
127.0.0.1,6166,0
127.0.0.1,6169,0
127.0.0.1,6173,0
127.0.0.1,6171,0
127.0.0.1,6175,0
127.0.0.1,6176,1
127.0.0.1,6178,0
127.0.0.1,6181,1
127.0.0.1,6183,1
127.0.0.1,6188,0
127.0.0.1,6189,0
127.0.0.1,6191,0
127.0.0.1,6192,0
127.0.0.1,6194,0
127.0.0.1,6016,6
127.0.0.1,6080,1
127.0.0.1,6082,0
127.0.0.1,6001,25
127.0.0.1,6011,8
127.0.0.1,6025,2
127.0.0.1,6029,0
127.0.0.1,6046,3
127.0.0.1,6058,0
127.0.0.1,6051,0
127.0.0.1,6075,0
127.0.0.1,6074,0
127.0.0.1,6084,1
127.0.0.1,6099,0
127.0.0.1,6069,2
127.0.0.1,6098,0
127.0.0.1,6003,46
127.0.0.1,6005,9
127.0.0.1,6017,8
127.0.0.1,6019,1
127.0.0.1,6026,0
127.0.0.1,6023,9
127.0.0.1,6024,5
127.0.0.1,6033,0
127.0.0.1,6035,4
127.0.0.1,6037,0
127.0.0.1,6044,0
127.0.0.1,6036,6
127.0.0.1,6042,1
127.0.0.1,6053,0
127.0.0.1,6062,1
127.0.0.1,6071,0
127.0.0.1,6078,0
127.0.0.1,6089,0
127.0.0.1,6097,0
127.0.0.1,6091,1
127.0.0.1,6093,0
127.0.0.1,6096,1
127.0.0.1,6000,84
127.0.0.1,6002,33
127.0.0.1,6004,12
127.0.0.1,6006,0
127.0.0.1,6007,12
127.0.0.1,6008,15
127.0.0.1,6009,20
127.0.0.1,6010,18
127.0.0.1,6014,3
127.0.0.1,6012,7
127.0.0.1,6013,4
127.0.0.1,6015,3
127.0.0.1,6018,2
127.0.0.1,6020,8
127.0.0.1,6021,9
127.0.0.1,6027,10
127.0.0.1,6022,1
127.0.0.1,6032,3
127.0.0.1,6031,2
127.0.0.1,6030,2
127.0.0.1,6028,11
127.0.0.1,6040,2
127.0.0.1,6041,1
127.0.0.1,6034,1
127.0.0.1,6039,3
127.0.0.1,6038,1
127.0.0.1,6043,1
127.0.0.1,6045,4
127.0.0.1,6050,4
127.0.0.1,6048,0
127.0.0.1,6049,3
127.0.0.1,6052,3
127.0.0.1,6047,3
127.0.0.1,6056,3
127.0.0.1,6054,0
127.0.0.1,6060,2
127.0.0.1,6065,0
127.0.0.1,6057,0
127.0.0.1,6066,0
127.0.0.1,6072,0
127.0.0.1,6064,0
127.0.0.1,6059,0
127.0.0.1,6067,2
127.0.0.1,6055,0
127.0.0.1,6061,0
127.0.0.1,6070,1
127.0.0.1,6083,0
127.0.0.1,6063,0
127.0.0.1,6087,0
127.0.0.1,6076,1
127.0.0.1,6086,0
127.0.0.1,6090,2
127.0.0.1,6092,0
127.0.0.1,6068,0
127.0.0.1,6094,0
127.0.0.1,6081,2
127.0.0.1,6079,0
127.0.0.1,6077,0
127.0.0.1,6095,0
127.0.0.1,6088,0
127.0.0.1,6085,2
